work_item_id,target_batch,domain,scope,contract_operation_ids,page_htmls,backend_owner,frontend_owner,review_owner,deploy_owner,hard_dependencies,entry_gate,required_deliverables,exit_gate,forbidden_early_work,risk_level,notes
WI-W2-01,W2,frontend_base,构建/路由/设计Token/API_Client/统一包络/七态壳/禁CDN与演示数据,NONE(mock_contract_only_no_real_api),ALL_35,NONE,Qoder,智谱,扣子,W1_FINAL_FROZEN,ChatGPT签发W1_FROZEN,可复现构建+公共壳+API_Client合同实现,构建可复现+壳验收通过,不得接任何真实API;不得造假数据接口,M,mock仅本地契约桩不进生产构建
WI-W3-01,W3,identity,身份I1合并+权威登录/me/logout+会话七态,OP-AUTH-LOGIN|OP-AUTH-LOGOUT|OP-AUTH-ME,profile.html|security.html,Claude,Qoder,智谱,扣子,W2_exit;RESOLVED_DR-02=B_clean_branch,W2通过+PR4审定合并路径,合并后身份链+统一包络+E2E,真实账号登录E2E通过,不得先接业务页,H,身份是一切数据范围的根
WI-W3-02,W3,daily_loop,任务/预约READY读链+门店绑定,OP-DLTASK-LIST|OP-DLAPPT-LIST,tasks.html|appointments.html|home.html,Claude,Qoder,智谱,扣子,WI-W3-01,身份链绿,两读链联调+七态,真实账号读链E2E通过,不得伪造预约写入,M,上游daily-loop只读
WI-W4-01,W4,customer,顾客域Facade+建档/详情/需求/项目/消耗写链,OP-CUST-LIST|OP-CUST-DETAIL|OP-CUST-CREATE|OP-CUST-UPDATE|OP-CUST-MERGE-REQUEST|OP-PROJ-ADD|OP-PROJ-CONSUME|OP-HOMEPROD-ADD|OP-HOMEPROD-USAGE|OP-DEMAND-ADD|OP-DEMAND-PROGRESS|OP-DEMAND-TASKIFY|OP-DEMAND-BOARD|OP-WARNING-LIST,customer_list.html|customer_detail.html|customer_onboarding.html|need_discovery.html|demand_board.html|consumption_tracking.html,Claude,Qoder,智谱,扣子,WI-W3-01;写横切WI-W4-03,身份绿+写合同冻结,Facade+写链+审计,越权/幂等/409测试全绿,前端不得直连v013,H,消耗台账高危先行
WI-W4-02,W4,diagnosis,诊断/月度/报告/趋势Facade化,OP-DIAG-DAILY-SUBMIT|OP-DIAG-METRICS|OP-DIAG-RUN|OP-DIAG-DETAIL|OP-DIAG-BENCHMARK-GET|OP-DIAG-BENCHMARK-PUT|OP-FIRSTDIAG-SUBMIT|OP-FIRSTDIAG-GET|OP-MONTHLY-SUBMIT|OP-MONTHLY-GET|OP-MONTHLY-HISTORY|OP-TREND-GET|OP-REPORT-LIST|OP-REPORT-DOWNLOAD-TICKET,diagnosis.html|first_diagnosis.html|monthly_diagnosis.html|report.html|trend_compare.html,Claude,Qoder,智谱,扣子,WI-W3-01;RESOLVED_DR-04,身份绿+权威归属裁定,Facade+session取代URL凭证+短时签名下载票据+限频+下载审计,URL凭证下线+E2E绿+下载票据E2E与越权测试通过,不得保留公开POST,H,含DR-04依赖
WI-W4-03,W4,cross_cutting,写横切:幂等键/If-Match/审计表/409/trace_id中间件,ALL_WRITE_OPS,ALL_WRITE_PAGES,Claude,NONE,智谱,扣子,WI-W3-01,身份绿,中间件+审计存储+合同测试,重复提交/并发/审计用例全绿,业务写链不得先于横切上线,H,一次实现全域复用
WI-W4-04,W4,service,服务执行/体验/预约确认/任务回执新写域+Employee最小实体+Binding到Employee映射+operator_employee_id会话解析,OP-SVC-RECORD-CREATE|OP-SVC-RECORD-GET|OP-EXPERIENCE-CREATE|OP-SEEDING-CREATE|OP-APPT-DETAIL|OP-APPT-CONFIRM|OP-TASK-DETAIL|OP-DLTASK-RECEIPT,service_execution.html|customer_experience.html|appointment_detail.html|task_detail.html|project_seeding.html,Claude,Qoder,智谱,扣子,WI-W4-03;RESOLVED_DR-03;RESOLVED_DR-06;RESOLVED_DR-09,写横切绿+两裁定,新域表+写链+图片授权边界,写链E2E+越权全绿,不得用localStorage顶替,H,ServiceRecord是W7前置
WI-W5-01,W5,content,内容域持久化+版本/审核/使用效果,OP-CONTENT-LIST|OP-CONTENT-DETAIL|OP-CONTENT-GENERATE|OP-CONTENT-DRAFT-SAVE|OP-CONTENT-SUBMIT|OP-CONTENT-USAGE|OP-CONTENT-FEEDBACK,content.html|content_detail.html|content_data.html,Claude,Qoder,智谱,扣子,WI-W4-03;RESOLVED_DR-05=A_full_domain,写横切绿,内容表+版本快照+同版校验,版本冲突/审核流E2E绿,不得沿用内存CONTENTS,M,引擎保留模板降级
WI-W5-02,W5,private,私域/激活/分群闭环,OP-PRIVATE-SUMMARY|OP-ACTIVATION-LIST|OP-ACTIVATION-RESULT|OP-PRIVATE-SCRIPT|OP-CUSTGROUP-PREVIEW|OP-CUSTGROUP-CREATE|OP-CUSTGROUP-LIST,private_domain.html|activation_task.html|customer_group.html,Claude,Qoder,智谱,扣子,WI-W4-01,顾客域绿,激活/分群域+归因,触达授权+归因E2E绿,不得绕过顾客沟通偏好,M,NONE
WI-W5-03,W5,store,在W4_Employee_core之上完成团队管理/门店资料/员工统计扩展,OP-STORE-PROFILE-GET|OP-STORE-PROFILE-UPDATE|OP-TEAM-MEMBER-LIST|OP-SECURITY-OVERVIEW,team.html|profile.html|security.html,Claude,Qoder,智谱,扣子,WI-W3-01;WI-W4-04(Employee_core);RESOLVED_DR-01,身份绿+门店注册表裁定,员工域+门店资料持久化,团队页E2E绿,不得沿用内存STORES,M,NONE
WI-W6-01,W6,orchestration,首页判断/驾驶舱/风险/复盘/周诊断/员工聚合,OP-HOME-OVERVIEW|OP-BIZ-DASHBOARD|OP-RISK-BOARD|OP-WEEKLY-DIAG-GET|OP-ACTIONTASK-LIST|OP-ACTIONTASK-GENERATE|OP-ACTIONTASK-RECEIPT|OP-REVIEW-SUBMIT|OP-REVIEW-HISTORY|OP-EMPLOYEE-EXEC-SUMMARY,home.html|business.html|risks.html|review.html|weekly_diagnosis.html|employee_tracking.html,Claude,Qoder,智谱,扣子,WI-W4-01;WI-W4-02;WI-W4-04,读写域全绿,编排端点+规则版本+降级,可解释性+降级验收绿,不得先做AI首页再补数据合同,M,规则可解释非黑箱
WI-W7-01,W7,customer_auth,顾客独立身份+服务门店归属+本人服务记录只读,OP-CUSTAUTH-LOGIN|OP-CUSTVIEW-HOME|OP-CUSTVIEW-SERVICE-RECORDS,customer_view_home.html|customer_view_service.html,Claude,Qoder,智谱,扣子,WI-W4-04(ServiceRecord);WI-W3-01,服务记录域绿,顾客身份域+只读授权链,店长/顾客越权测试全绿,不得复用店长会话,H,最后联通
WI-W8-01,W8,release,独立复核+staging+回滚演练+部署观察,ALL,ALL_35,Claude(支持),Qoder(支持),智谱,扣子,W2..W7全绿,全批次exit绿,测试报告+staging+回滚+观察,ChatGPT总验+吴哥拍板上线,不得跳过回滚演练,H,发布闸门见总方案§8
