route_id,method,full_path,router_domain,w0_runtime_status,w0_auth_dependency,w0_store_check,w0_resource_check,w0_authoritative_storage,collision_group,frontend_direct_access,w1_disposition,canonical_operation_id,canonical_path_candidate,deprecation_or_merge_batch,required_safety_changes,evidence_file_line,notes
r001,POST,/api/auth/wechat/login,identity_i1_PR4_OFF,CODE_ONLY,NONE_public_login,NONE,NONE,identity_metadata:dl_app_user+dl_wechat_identity+dl_auth_session,NONE,ALLOW_AFTER_W1_FREEZE_AND_IMPLEMENTATION,KEEP_AS_CANDIDATE,OP-AUTH-LOGIN,/api/auth/wechat/login,W3,clean_branch_review_or_merge;feature_flag_enablement;unified_envelope;rate_limit;auth_session_store_scope_validation;W3_E2E_and_privilege_tests,R3A:r001,merge_identity_branch_via_PR4_review;enable_flags;unified_envelope
r002,POST,/api/auth/logout,identity_i1_PR4_OFF,CODE_ONLY,bearer_optional_idempotent,NONE,session_token,identity_metadata:dl_auth_session,NONE,ALLOW_AFTER_W1_FREEZE_AND_IMPLEMENTATION,KEEP_AS_CANDIDATE,OP-AUTH-LOGOUT,/api/auth/logout,W3,clean_branch_review_or_merge;feature_flag_enablement;unified_envelope;rate_limit;auth_session_store_scope_validation;W3_E2E_and_privilege_tests,R3A:r002,merge_identity_branch_via_PR4_review;enable_flags;unified_envelope
r003,GET,/api/auth/me,identity_i1_PR4_OFF,CODE_ONLY,require_session,SESSION_BINDING,SESSION,identity_metadata:dl_store_member_binding,NONE,ALLOW_AFTER_W1_FREEZE_AND_IMPLEMENTATION,KEEP_AS_CANDIDATE,OP-AUTH-ME,/api/auth/me,W3,clean_branch_review_or_merge;feature_flag_enablement;unified_envelope;rate_limit;auth_session_store_scope_validation;W3_E2E_and_privilege_tests,R3A:r003,merge_identity_branch_via_PR4_review;enable_flags;unified_envelope
r004,GET,/api/daily-loop/v1/tasks,daily_loop_facade_PR4_OFF,CODE_ONLY,require_session,SESSION_BINDING,SESSION,upstream_daily_loop:DailyCustomerTask(serialization.py:14),NONE,ALLOW_AFTER_W1_FREEZE_AND_IMPLEMENTATION,KEEP_AS_CANDIDATE,OP-DLTASK-LIST,/api/daily-loop/v1/tasks,W3,clean_branch_review_or_merge;feature_flag_enablement;unified_envelope;rate_limit;auth_session_store_scope_validation;W3_E2E_and_privilege_tests,R3A:r004,merge_identity_branch_via_PR4_review;enable_flags;unified_envelope
r005,GET,/api/daily-loop/v1/appointments,daily_loop_facade_PR4_OFF,CODE_ONLY,require_session,SESSION_BINDING,SESSION,upstream_daily_loop:Appointment(serialization.py:20),NONE,ALLOW_AFTER_W1_FREEZE_AND_IMPLEMENTATION,KEEP_AS_CANDIDATE,OP-DLAPPT-LIST,/api/daily-loop/v1/appointments,W3,clean_branch_review_or_merge;feature_flag_enablement;unified_envelope;rate_limit;auth_session_store_scope_validation;W3_E2E_and_privilege_tests,R3A:r005,merge_identity_branch_via_PR4_review;enable_flags;unified_envelope
r006,POST,/api/auth/wechat-login,weapp_main,CODE_ONLY,MOCK_no_verify,NONE,NONE,in_memory_dict_USERS,NONE,BLOCK,REPLACE_WITH_NEW_DOMAIN,NONE,NONE,W3,add_session_auth,R3A:r006,mock_login_removed;replaced_by_OP-AUTH-LOGIN
r007,GET,/api/stores/profile,weapp_main,CODE_ONLY,HEADER_OPT,NONE,NONE,in_memory_dict_STORES,NONE,BLOCK,REPLACE_WITH_NEW_DOMAIN,NONE,NONE,W5,add_session_auth,R3A:r007,in_memory_store_profile_replaced_by_persistent_store_domain
r008,POST,/api/stores/profile,weapp_main,CODE_ONLY,HEADER_OPT,NONE,NONE,in_memory_dict_STORES,NONE,BLOCK,REPLACE_WITH_NEW_DOMAIN,NONE,NONE,W5,add_session_auth,R3A:r008,in_memory_store_profile_replaced_by_persistent_store_domain
r009,POST,/api/content/generate,weapp_main,CODE_ONLY,HEADER_OPT,NONE,NONE,coze_bot_or_local_template_then_in_memory_CONTENTS,NONE,BLOCK,WRAP_WITH_FACADE,OP-CONTENT-GENERATE,/api/v1/contents/generate,W5,add_session_auth,R3A:r009,session_auth+persist_result+keep_engine
r010,GET,/api/content/history,weapp_main,CODE_ONLY,HEADER_OPT,NONE,NONE,in_memory_list_CONTENTS,NONE,BLOCK,REPLACE_WITH_NEW_DOMAIN,NONE,NONE,W5,add_session_auth,R3A:r010,in_memory_content_replaced_by_persistent_content_domain
r011,POST,/api/content/{content_id}/favorite,weapp_main,CODE_ONLY,HEADER_OPT,NONE,NONE_no_owner_check,in_memory_list_CONTENTS,NONE,BLOCK,REPLACE_WITH_NEW_DOMAIN,NONE,NONE,W5,add_session_auth,R3A:r011,in_memory_content_replaced_by_persistent_content_domain
r012,POST,/api/content/{content_id}/feedback,weapp_main,CODE_ONLY,HEADER_OPT,NONE,NONE_no_owner_check,in_memory_list_CONTENTS,NONE,BLOCK,REPLACE_WITH_NEW_DOMAIN,OP-CONTENT-FEEDBACK,/api/v1/contents/{content_id}/feedback,W5,add_session_auth,R3A:r012,in_memory_content_replaced_by_persistent_content_domain
r013,POST,/api/private/generate,weapp_main,CODE_ONLY,HEADER_OPT,NONE,NONE,coze_bot_or_local_template,NONE,BLOCK,WRAP_WITH_FACADE,OP-PRIVATE-SCRIPT,/api/v1/private-domain/scripts,W5,add_session_auth,R3A:r013,session_auth+template_fallback_kept
r014,POST,/api/coach/webview-token,weapp_main,CODE_ONLY,HEADER_OPT,NONE,NONE,redis_or_memory_ticket_TTL300,NONE,BLOCK,KEEP_INTERNAL_ONLY,NONE,NONE,W4,add_session_auth;store_from_session_binding,R3A:r014,legacy_h5_ticket_flow;superseded_by_session_auth;no_prod_frontend_use
r015,POST,/api/diagnoses,diagnoses_main,CODE_ONLY,NONE_public,NONE,NONE,main_db_ORM:diagnoses,NONE,BLOCK,WRAP_WITH_FACADE,OP-FIRSTDIAG-SUBMIT,/api/v1/diagnosis/first,W4,remove_public_unauth_POST,R3A:r015,session_replaces_public_POST_and_url_token_read
r016,GET,/api/diagnoses/{diagnosis_id},diagnoses_main,CODE_ONLY,verify_result_auth_URL_CRED,NONE,access_token_or_ticket_match,main_db_ORM:diagnoses,NONE,BLOCK,WRAP_WITH_FACADE,OP-FIRSTDIAG-GET,/api/v1/diagnosis/first/{diagnosis_id},W4,add_session_auth,R3A:r016,session_replaces_public_POST_and_url_token_read
r017,POST,/api/monthly-checkups,monthly_main,CODE_ONLY,store_existence_lookup,NONE,NONE,main_db_ORM:monthly_checkups,NONE,BLOCK,WRAP_WITH_FACADE,OP-MONTHLY-SUBMIT,/api/v1/monthly-checkups,W4,NONE,R3A:r017,session_replaces_url_cred;store_from_session
r018,GET,/api/monthly-checkups/{checkup_id},monthly_main,CODE_ONLY,verify_result_auth_URL_CRED,NONE,access_token_or_ticket_match,main_db_ORM:monthly_checkups,NONE,BLOCK,WRAP_WITH_FACADE,OP-MONTHLY-GET,/api/v1/monthly-checkups/{checkup_id},W4,add_session_auth,R3A:r018,session_replaces_url_cred;store_from_session
r019,GET,/api/monthly-checkups/store/{store_id},monthly_main,CODE_ONLY,verify_store_auth_URL_CRED,verify_store_auth,NONE,main_db_ORM:monthly_checkups,NONE,BLOCK,WRAP_WITH_FACADE,OP-MONTHLY-HISTORY,/api/v1/monthly-checkups,W4,add_session_auth,R3A:r019,session_replaces_url_cred;store_from_session
r020,GET,/api/monthly-checkups/store/{store_id}/trends,monthly_main,CODE_ONLY,verify_store_auth_URL_CRED,verify_store_auth,NONE,main_db_ORM:monthly_checkups,NONE,BLOCK,WRAP_WITH_FACADE,OP-TREND-GET,/api/v1/monthly-checkups/trends,W4,add_session_auth,R3A:r020,session_replaces_url_cred;store_from_session
r021,POST,/api/store-manager/daily-raw-data,store_manager_v013,CODE_ONLY,NONE,NONE,NONE,sqlite_v013:store_daily_raw_data(db_v013.py:30),NONE,BLOCK,WRAP_WITH_FACADE,OP-DIAG-DAILY-SUBMIT,/api/v1/diagnosis/daily-data,W4,add_session_auth;store_from_session_binding,R3A:r021,identity+store_scope_added;client_store_id_rejected
r022,GET,/api/store-manager/computed-metrics,store_manager_v013,CODE_ONLY,NONE,NONE,NONE,sqlite_v013:store_computed_metrics(db_v013.py:57),NONE,BLOCK,WRAP_WITH_FACADE,OP-DIAG-METRICS,/api/v1/diagnosis/metrics,W4,add_session_auth;store_from_session_binding,R3A:r022,identity+store_scope_added;client_store_id_rejected
r023,POST,/api/store-manager/monthly-diagnoses,store_manager_v013,CODE_ONLY,NONE,NONE,NONE,sqlite_v013:store_diagnosis_result+store_diagnosis_issue(db_v013.py:81;101),CG-1,BLOCK,WRAP_WITH_FACADE,OP-DIAG-RUN,/api/v1/diagnosis/run,W4,add_session_auth;store_from_session_binding,R3A:r023,identity+store_scope_added;client_store_id_rejected
r024,GET,/api/store-manager/diagnosis/{diagnosis_id},store_manager_v013,CODE_ONLY,NONE,NONE,NONE_any_id_readable,sqlite_v013:store_diagnosis_result(db_v013.py:81),NONE,BLOCK,WRAP_WITH_FACADE,OP-DIAG-DETAIL,/api/v1/diagnosis/{diagnosis_id},W4,add_session_auth,R3A:r024,identity+store_scope_added;client_store_id_rejected
r025,GET,/api/store-manager/benchmark-config,store_manager_v013,CODE_ONLY,NONE,NONE,NONE,sqlite_v013:store_benchmark_config(db_v013.py:302),NONE,BLOCK,WRAP_WITH_FACADE,OP-DIAG-BENCHMARK-GET,/api/v1/diagnosis/benchmark,W4,add_session_auth;store_from_session_binding,R3A:r025,identity+store_scope_added;client_store_id_rejected
r026,PUT,/api/store-manager/benchmark-config,store_manager_v013,CODE_ONLY,NONE,NONE,NONE,sqlite_v013:store_benchmark_config(db_v013.py:302),NONE,BLOCK,WRAP_WITH_FACADE,OP-DIAG-BENCHMARK-PUT,/api/v1/diagnosis/benchmark,W4,add_session_auth;store_from_session_binding,R3A:r026,identity+store_scope_added;client_store_id_rejected
r027,GET,/api/store-manager/today-tasks,store_manager_v013,CODE_ONLY,NONE,NONE,NONE,sqlite_v013:store_action_task(db_v013.py:254),CG-3,BLOCK,WRAP_WITH_FACADE,OP-ACTIONTASK-LIST,/api/v1/action-tasks,W6,add_session_auth;store_from_session_binding,R3A:r027,identity+operator_audit_added
r028,POST,/api/store-manager/today-tasks/generate,store_manager_v013,CODE_ONLY,NONE,NONE,NONE,sqlite_v013:store_action_task(db_v013.py:254),CG-2,BLOCK,WRAP_WITH_FACADE,OP-ACTIONTASK-GENERATE,/api/v1/action-tasks/generate,W6,add_session_auth;store_from_session_binding,R3A:r028,identity+operator_audit_added
r029,PUT,/api/store-manager/tasks/{task_id}/status,store_manager_v013,CODE_ONLY,NONE,NONE,NONE_any_task_id,sqlite_v013:store_action_task(db_v013.py:254),CG-4,BLOCK,WRAP_WITH_FACADE,OP-ACTIONTASK-RECEIPT,/api/v1/action-tasks/{task_id}/status,W6,add_session_auth;idempotency+operator_audit,R3A:r029,identity+operator_audit_added
r030,POST,/api/store-manager/daily-review,store_manager_v013,CODE_ONLY,NONE,NONE,NONE,sqlite_v013:daily_review(db_v013.py:289),NONE,BLOCK,WRAP_WITH_FACADE,OP-REVIEW-SUBMIT,/api/v1/daily-review,W6,add_session_auth;store_from_session_binding,R3A:r030,identity+operator_audit_added
r031,GET,/api/store-manager/daily-review/history,store_manager_v013,CODE_ONLY,NONE,NONE,NONE,sqlite_v013:daily_review(db_v013.py:289),NONE,BLOCK,WRAP_WITH_FACADE,OP-REVIEW-HISTORY,/api/v1/daily-review/history,W6,add_session_auth;store_from_session_binding,R3A:r031,identity+operator_audit_added
r032,POST,/api/store-manager/customers,store_manager_v013,CODE_ONLY,NONE,NONE,NONE,sqlite_v013:customer_profile(db_v013.py:121),NONE,BLOCK,WRAP_WITH_FACADE,OP-CUST-CREATE,/api/v1/customers,W4,add_session_auth;store_from_session_binding;idempotency+operator_audit,R3A:r032,identity+store_scope+idempotency_added;phone_masked_where_listed
r033,GET,/api/store-manager/customers,store_manager_v013,CODE_ONLY,NONE,NONE,NONE,sqlite_v013:customer_profile(db_v013.py:121),NONE,BLOCK,WRAP_WITH_FACADE,OP-CUST-LIST,/api/v1/customers,W4,add_session_auth;store_from_session_binding,R3A:r033,identity+store_scope+idempotency_added;phone_masked_where_listed
r034,GET,/api/store-manager/customers/{customer_id},store_manager_v013,CODE_ONLY,NONE,NONE,NONE_any_customer_id,sqlite_v013:customer_profile+customer_project+customer_home_product+customer_demand(db_v013.py:121;156;178;200),NONE,BLOCK,WRAP_WITH_FACADE,OP-CUST-DETAIL,/api/v1/customers/{customer_id},W4,add_session_auth,R3A:r034,identity+store_scope+idempotency_added;phone_masked_where_listed
r035,POST,/api/store-manager/customers/{customer_id}/projects,store_manager_v013,CODE_ONLY,NONE,NONE,customer_existence_only,sqlite_v013:customer_project(db_v013.py:156),NONE,BLOCK,WRAP_WITH_FACADE,OP-PROJ-ADD,/api/v1/customers/{customer_id}/projects,W4,add_session_auth;idempotency+operator_audit,R3A:r035,identity+store_scope+idempotency_added;phone_masked_where_listed
r036,POST,/api/store-manager/customers/{customer_id}/projects/{project_id}/consume,store_manager_v013,CODE_ONLY,NONE,NONE,project_belongs_to_customer(router_v013.py:217),sqlite_v013:customer_project(db_v013.py:156),NONE,BLOCK,WRAP_WITH_FACADE,OP-PROJ-CONSUME,/api/v1/projects/{project_id}/consumptions,W4,add_session_auth;idempotency+operator_audit,R3A:r036,identity+store_scope+idempotency_added;phone_masked_where_listed
r037,POST,/api/store-manager/customers/{customer_id}/home-products,store_manager_v013,CODE_ONLY,NONE,NONE,customer_existence_only,sqlite_v013:customer_home_product(db_v013.py:178),NONE,BLOCK,WRAP_WITH_FACADE,OP-HOMEPROD-ADD,/api/v1/customers/{customer_id}/home-products,W4,add_session_auth;idempotency+operator_audit,R3A:r037,identity+store_scope+idempotency_added;phone_masked_where_listed
r038,POST,/api/store-manager/customers/{customer_id}/demands,store_manager_v013,CODE_ONLY,NONE,NONE,customer_existence_only,sqlite_v013:customer_demand(db_v013.py:200),NONE,BLOCK,WRAP_WITH_FACADE,OP-DEMAND-ADD,/api/v1/customers/{customer_id}/demands,W4,add_session_auth;idempotency+operator_audit,R3A:r038,identity+store_scope+idempotency_added;phone_masked_where_listed
r039,PUT,/api/store-manager/customers/{customer_id}/demands/{demand_id},store_manager_v013,CODE_ONLY,NONE,NONE,demand_belongs_to_customer(router_v013.py:254),sqlite_v013:customer_demand(db_v013.py:200),NONE,BLOCK,WRAP_WITH_FACADE,OP-DEMAND-PROGRESS,/api/v1/demands/{demand_id}/progress,W4,add_session_auth;idempotency+operator_audit,R3A:r039,identity+store_scope+idempotency_added;phone_masked_where_listed
r040,GET,/api/store-manager/warnings,store_manager_v013,CODE_ONLY,NONE,NONE,NONE,sqlite_v013:customer_warning(db_v013.py:221),NONE,BLOCK,WRAP_WITH_FACADE,OP-WARNING-LIST,/api/v1/warnings,W4,add_session_auth,R3A:r040,identity+store_scope+idempotency_added;phone_masked_where_listed
r041,GET,/api/store-manager/demand-board,store_manager_v013,CODE_ONLY,NONE,NONE,NONE,sqlite_v013:customer_demand+customer_warning+customer_profile_join(db_v013.py:200;221;121),NONE,BLOCK,WRAP_WITH_FACADE,OP-DEMAND-BOARD,/api/v1/demand-board,W4,add_session_auth;store_from_session_binding;mask_customer_phone,R3A:r041,identity+store_scope+idempotency_added;phone_masked_where_listed
r042,POST,/api/store-manager/monthly-diagnoses,store_manager_v012_SHADOWED,CODE_ONLY,NONE,NONE,NONE,v012_storage_py,CG-1,BLOCK,DEPRECATE_COLLIDING_HANDLER,NONE,NONE,W4,add_session_auth;store_from_session_binding,R3A:r042,shadowed_v012_handler_removed_per_R3_collision_evidence
r043,GET,/api/store-manager/monthly-diagnoses/{report_id},store_manager_v012,CODE_ONLY,NONE,NONE,NONE_any_report_id,v012_storage_py,NONE,BLOCK,MERGE_REQUIRED,NONE,NONE,W4,add_session_auth,R3A:r043,v012_report_reads_merged_into_report_domain(OP-REPORT-LIST)
r044,GET,/api/store-manager/history,store_manager_v012,CODE_ONLY,NONE,NONE,NONE,v012_storage_py,NONE,BLOCK,MERGE_REQUIRED,NONE,NONE,W4,add_session_auth;store_from_session_binding,R3A:r044,v012_report_reads_merged_into_report_domain(OP-REPORT-LIST)
r045,POST,/api/store-manager/today-tasks/generate,store_manager_v012_SHADOWED,CODE_ONLY,NONE,NONE,NONE,v012_storage_py,CG-2,BLOCK,DEPRECATE_COLLIDING_HANDLER,NONE,NONE,W4,add_session_auth;store_from_session_binding,R3A:r045,shadowed_v012_handler_removed_per_R3_collision_evidence
r046,GET,/api/store-manager/today-tasks,store_manager_v012_SHADOWED,CODE_ONLY,NONE,NONE,NONE,v012_storage_py,CG-3,BLOCK,DEPRECATE_COLLIDING_HANDLER,NONE,NONE,W4,add_session_auth;store_from_session_binding,R3A:r046,shadowed_v012_handler_removed_per_R3_collision_evidence
r047,PUT,/api/store-manager/tasks/{task_id}/status,store_manager_v012_SHADOWED,CODE_ONLY,NONE,NONE,NONE_any_task_id,v012_storage_py,CG-4,BLOCK,DEPRECATE_COLLIDING_HANDLER,NONE,NONE,W4,add_session_auth,R3A:r047,shadowed_v012_handler_removed_per_R3_collision_evidence
r048,POST,/api/store-manager/tasks/{task_id}/review,store_manager_v012,CODE_ONLY,NONE,NONE,NONE_any_task_id,v012_storage_py,NONE,BLOCK,MERGE_REQUIRED,NONE,NONE,W6,add_session_auth,R3A:r048,task_review_semantics_merged_into_action_task_receipt
r049,POST,/api/store-manager/admin/reports/{report_id}/mark,store_manager_v012,CODE_ONLY,require_admin_X_Admin_Key,NONE,NONE,v012_storage_py,NONE,BLOCK,KEEP_INTERNAL_ONLY,NONE,NONE,W8,NONE,R3A:r049,admin_key_ops_stay_internal_ops_tooling
