object,scope_origin,w0_current_store,w0_current_table_or_upstream,w0_current_id_type,w0_authority_status,w0_drift_risk,w1_authority_candidate,w1_external_id_type,w1_id_generator,w1_store_ownership_rule,w1_resource_ownership_rule,w1_legacy_id_mapping,w1_facade_or_migration,w1_write_authority,w1_read_authority,w1_target_batch,decision_status,blocking_dependencies,evidence_file_line,notes
Store,W0_BASELINE_22,main_db_ORM+v013_sqlite+identity_metadata,main:stores / v013:store_id_text_no_entity_table / dl_store_member_binding.dl_store_id,int(main)+str(v013)+str(binding),MULTIPLE,HIGH_three_id_spaces_no_mapping,main_db_stores+new_store_registry_mapping,store_<opaque12>,backend_registry,registry_is_store_authority;binding.dl_store_id_maps_to_registry,n/a,map_int_and_str_ids_to_registry,MAP_FACADE,registry,registry+facade,W3,RECOMMENDED_FOR_FREEZE,RESOLVED_DR-01=A_registry,backend/app/models.py:15;backend/app/identity/models.py:77,no_name_or_phone_as_id;no_store_entity_table_in_v013_store_id_is_free_text
AppUser,W0_BASELINE_22,identity_metadata(+weapp_in_memory),dl_app_user,int,PARTIAL,MEDIUM_mock_USERS_parallel,identity_dl_app_user,u_<opaque12>,identity_service,self,self,none_needed_new_domain,MERGE_IDENTITY_BRANCH,identity,identity,W3,RECOMMENDED_FOR_FREEZE,RESOLVED_DR-02=B_clean_branch,backend/app/identity/models.py:46,no_name_or_phone_as_id;weapp_USERS_dict_is_mock_non_persistent
WechatIdentity,W0_BASELINE_22,identity_metadata,dl_wechat_identity,int(openid_hash),PARTIAL,LOW,identity_dl_wechat_identity,INTERNAL_ONLY_no_external_id,identity_service,self,self,none,MERGE_IDENTITY_BRANCH,identity,identity,W3,RECOMMENDED_FOR_FREEZE,never_exposed,backend/app/identity/models.py:62,no_name_or_phone_as_id;stores_HMAC_openid_only_unmerged_OFF
StoreMemberBinding,W0_BASELINE_22,identity_metadata,dl_store_member_binding,int+str_dl_ids,PARTIAL,LOW,identity_dl_store_member_binding,INTERNAL_ONLY_exposed_via_me,identity_service,binding_is_store_scope_root,self,none,MERGE_IDENTITY_BRANCH,identity,identity,W3,RECOMMENDED_FOR_FREEZE,role_store_authority_root,backend/app/identity/models.py:77,no_name_or_phone_as_id;only_authoritative_role_and_store_source_unmerged_OFF
AuthSession,W0_BASELINE_22,identity_metadata,dl_auth_session,int(token_hash),PARTIAL,LOW,identity_dl_auth_session,opaque_bearer_token,identity_service,self,self,none,MERGE_IDENTITY_BRANCH,identity,identity,W3,RECOMMENDED_FOR_FREEZE,sha256_stored,backend/app/identity/models.py:101,no_name_or_phone_as_id;opaque_24h_sha256_stored_unmerged_OFF
Employee,W0_BASELINE_22,none,MISSING,NONE,MISSING,NONE,NEW_employee_domain_main_db,emp_<opaque12>,employee_service,employee_belongs_to_store,self,free_text_staff_names_backfilled_by_mapping_table,NEW_DOMAIN,new_domain,new_domain,W4_core;W5_management,BLOCKED_BY_MISSING_DOMAIN,RESOLVED_DR-06=A_service_domain;core_entity_lands_W4,backend/app/store_manager/db_v013.py:264;backend/app/identity/models.py:90,no_name_or_phone_as_id;no_employee_entity;tasks_use_free_text_related_staff_responsible_staff;binding.dl_member_id_is_partial_proxy_only
Customer,W0_BASELINE_22,v013_sqlite,customer_profile,int,AUTHORITATIVE,MEDIUM_no_store_ownership_enforced,v013_customer_profile,cus_<opaque12>,customer_facade,customer.store_id_must_match_session_store,self,facade_maps_int_pk_to_opaque;phone_never_id,FACADE,v013_via_facade,v013_via_facade,W4,RECOMMENDED_FOR_FREEZE,dedup_by_store+phone_hash,backend/app/store_manager/db_v013.py:121,no_name_or_phone_as_id;unique_store_id_phone;no_merge_dedup_workflow
Appointment,W0_BASELINE_22,upstream_daily_loop,daily_loop_internal_api,upstream_str_id,UPSTREAM_ONLY,HIGH_no_local_persistence,upstream_daily_loop+local_AppointmentConfirmation_projection,apt_<opaque12>,appointment_facade,store_scope_via_facade_binding,customer_link_via_upstream,facade_maps_upstream_id_to_opaque_external;no_passthrough_without_enumeration_proof,FACADE_READ+LOCAL_CONFIRMATION_PROJECTION,local_AppointmentConfirmation_projection,upstream_facade+local_confirmation_projection,W3_read;W4_write,RECOMMENDED_FOR_FREEZE,RESOLVED_DR-03=B_local_confirmation_projection,backend/app/routers/daily_loop_facade.py:120,no_name_or_phone_as_id;W0_fact_upstream_readonly_no_local_confirm_write;W1_ruling_DR-03=B_confirmation_written_to_local_AppointmentConfirmation_projection_referencing_upstream_appointment_id_status_follows_upstream_VALID_TRANSITIONS
Task,W0_BASELINE_22,v013_sqlite(+v012_storage_shadow),v013:store_action_task / v012:storage_py,int(v013)+str(v012),MULTIPLE,MEDIUM_v012_shadow_deadpath,v013_store_action_task+upstream_daily_loop_tasks,task_<opaque12>,task_facade,store_scope_by_domain,assignee_scope_for_staff,two_task_domains_mapped_separately,FACADE,split_by_domain,split_by_domain,W3_read;W4_receipt;W6_action,RECOMMENDED_FOR_FREEZE,RESOLVED_DR-09=A_two_namespaces,backend/app/store_manager/db_v013.py:254;R3A:r004,no_name_or_phone_as_id;no_idempotency_key_on_status_update
Diagnosis,W0_BASELINE_22,main_db_ORM+v013_sqlite+v012_storage,main:diagnoses / v013:store_diagnosis_result / v012:storage_py,int(main)+int(v013)+str(v012),MULTIPLE,HIGH_three_independent_stores,v013_store_diagnosis_result_candidate_authoritative,diag_<opaque12>,diagnosis_facade,store_scope_enforced,self,main_db_diagnoses+v012_str_reports_mapped_readonly,CONSOLIDATE,v013_candidate,facade_all_three,W4,RECOMMENDED_FOR_FREEZE,RESOLVED_DR-04=A_v013_write_authority,backend/app/store_manager/db_v013.py:81;backend/app/models.py:32,no_name_or_phone_as_id;id_spaces_disjoint_not_interoperable
MonthlyCheckup,W0_BASELINE_22,main_db_ORM(+v013_and_v012_parallel),main:monthly_checkups / v013:store_diagnosis_result_monthly / v012:storage_py,int(main),MULTIPLE,HIGH,main_db_monthly_checkups,mck_<opaque12>,monthly_facade,store_scope_enforced,self,v013_monthly_rows_mapped_readonly,CONSOLIDATE,main_db,facade,W4,RECOMMENDED_FOR_FREEZE,RESOLVED_DR-04=A_main_db_write_authority,backend/app/models.py:71;backend/app/routers/monthly.py:22,no_name_or_phone_as_id;main_has_real_409_on_store_and_check_month
Report,W0_BASELINE_22,main_db_ORM,diagnoses.access_token / monthly_checkups.access_token,int_plus_url_token,PARTIAL,MEDIUM,main_db_report_read_domain,rpt_<opaque12>,report_facade,store_scope_enforced,self,url_access_token_reads_deprecated;v012_str_report_id_mapped,FACADE,main_db,facade,W4,RECOMMENDED_FOR_FREEZE,signed_short_lived_download_urls,backend/app/routers/diagnoses.py:119;backend/app/routers/monthly.py:131,no_name_or_phone_as_id;no_standalone_report_table_no_idempotency_key_on_generate
Content,W0_BASELINE_22,weapp_in_memory,CONTENTS_list,NONE_stable,MISSING,HIGH_lost_on_restart,NEW_content_table_main_db,cnt_<opaque12>,content_service,content_belongs_to_store,author_scope,in_memory_CONTENTS_not_migrated_no_authority,NEW_DOMAIN,new_domain,new_domain,W5,BLOCKED_BY_MISSING_DOMAIN,RESOLVED_DR-05=A_full_domain,backend/app/routers/weapp.py:46,no_name_or_phone_as_id;coze_or_template_output_not_stored_authoritatively
ContentVersion,W0_BASELINE_22,none,MISSING,NONE,MISSING,NONE,NEW_content_version_table,cnt_<id>@v<int>,content_service,via_content,via_content,none_new,NEW_DOMAIN,new_domain,new_domain,W5,BLOCKED_BY_MISSING_DOMAIN,RESOLVED_DR-05=A_full_domain,backend/app/routers/weapp.py:263-279,no_name_or_phone_as_id;no_draft_version_preview_submit_review_endpoints;content_item_has_no_version_field;v013_schema_has_no_content_table
Demand,W0_BASELINE_22,v013_sqlite,customer_demand,int,AUTHORITATIVE,LOW,v013_customer_demand,dmd_<opaque12>,customer_facade,via_customer_store,via_customer,facade_maps_int_pk,FACADE,v013,facade,W4,RECOMMENDED_FOR_FREEZE,NONE,backend/app/store_manager/db_v013.py:200,no_name_or_phone_as_id;no_operator_no_generate_task_closed_loop
Project,W0_BASELINE_22,v013_sqlite,customer_project,int,AUTHORITATIVE,LOW,v013_customer_project,prj_<opaque12>,customer_facade,via_customer_store,via_customer,facade_maps_int_pk,FACADE,v013,facade,W4,RECOMMENDED_FOR_FREEZE,NONE,backend/app/store_manager/db_v013.py:156,no_name_or_phone_as_id;consume_no_idempotency
ConsumptionRecord,W0_BASELINE_22,v013_sqlite,customer_project_inplace_used_remaining_no_ledger,NONE_separate,PARTIAL,HIGH_no_audit_trail,NEW_consumption_ledger,csm_<opaque12>,consumption_service,via_project_customer_store,via_project,inplace_used_quantity_backfilled_as_opening_balance,NEW_DOMAIN,new_ledger,new_ledger+project_projection,W4,BLOCKED_BY_MISSING_DOMAIN,RESOLVED_DR-07=A_event_ledger,backend/app/store_manager/customer_ops_v013.py:158,no_name_or_phone_as_id;in_place_update_no_event_ledger_no_operator_repeat_double_decrement
ServiceRecord,W0_BASELINE_22,none,MISSING,NONE,MISSING,NONE,NEW_service_record_domain,svc_<opaque12>,service_service,via_customer_store,customer_read_scope_for_W7,none_new,NEW_DOMAIN,new_domain,new_domain,W4_write;W7_customer_read,BLOCKED_BY_MISSING_DOMAIN,RESOLVED_DR-06=A_service_domain,backend/app/store_manager/db_v013.py:29-334,no_name_or_phone_as_id;no_service_record_table_in_14_table_schema;no_service_endpoint;required_by_pages_15_35(DSM_W0_35_PAGE_API_EVIDENCE_MATRIX.csv:15;35)
ExperienceRecord,W0_BASELINE_22,none,MISSING,NONE,MISSING,NONE,NEW_experience_domain,exp_<opaque12>,service_service,via_customer_store,image_requires_customer_authorization,none_new,NEW_DOMAIN,new_domain,new_domain,W4,BLOCKED_BY_MISSING_DOMAIN,RESOLVED_DR-06=A_service_domain,backend/app/routers/weapp.py:39-457,no_name_or_phone_as_id;no_experience_table_no_image_upload_endpoint;required_by_page_22(DSM_W0_35_PAGE_API_EVIDENCE_MATRIX.csv:22)
CustomerGroup,W0_BASELINE_22,none,MISSING,NONE,MISSING,NONE,NEW_group_domain,grp_<opaque12>,group_service,group_belongs_to_store,rule_scope_store_customers_only,none_new,NEW_DOMAIN,new_domain,new_domain,W5,BLOCKED_BY_MISSING_DOMAIN,RESOLVED_DR-05=A_full_domain,backend/app/store_manager/router_v013.py:174,no_name_or_phone_as_id;list_has_keyword_but_no_group_rule_save_version
ActivationTask,W0_BASELINE_22,none,MISSING_private_generate_text_only,NONE,MISSING,NONE,NEW_activation_domain,act_<opaque12>,private_service,via_customer_store,via_customer,none_new,NEW_DOMAIN,new_domain,new_domain,W5,BLOCKED_BY_MISSING_DOMAIN,RESOLVED_DR-05=A_full_domain,backend/app/routers/weapp.py:340,no_name_or_phone_as_id;private_generate_is_content_only_no_activation_execution_result_attribution
DailyReview,W0_BASELINE_22,v013_sqlite,daily_review,int_unique_store_date,AUTHORITATIVE,LOW,v013_daily_review,rev_<store>@<date>,review_facade,store_scope_enforced,self,natural_key_store_date,FACADE,v013,facade,W6,RECOMMENDED_FOR_FREEZE,upsert_idempotent_kept,backend/app/store_manager/db_v013.py:289,no_name_or_phone_as_id;idempotent_upsert_no_operator
HomeProduct,W1_REQUIRED_SUPPLEMENT,v013_sqlite,customer_home_product,int,AUTHORITATIVE,LOW,v013_customer_home_product,hp_<opaque12>,customer_facade,via_customer_store,via_customer,facade_maps_int_pk_to_opaque,FACADE,v013,facade,W4,RECOMMENDED_FOR_FREEZE,RESOLVED_DR-07=A_event_ledger;usage_ledger_added,backend/app/store_manager/db_v013.py:178-198,no_name_or_phone_as_id;usage_ledger_via_OP-HOMEPROD-USAGE
CustomerIdentity,W1_REQUIRED_SUPPLEMENT,none,MISSING,NONE,MISSING,NONE,NEW_customer_identity_table,cid_<opaque12>,customer_auth_service,bound_via_CustomerStoreAuthorization,self,none_new,NEW_DOMAIN,new_domain,new_domain,W7,BLOCKED_BY_MISSING_DOMAIN,RESOLVED_DR_none;W7_build,W0_identity_map:customer_chain_MISSING,PROPOSED_NOT_IMPLEMENTED;wechat_openid_hash_isolated_from_staff_identity
CustomerAuthSession,W1_REQUIRED_SUPPLEMENT,none,MISSING,NONE,MISSING,NONE,NEW_customer_session_table,opaque_bearer_token_customer_namespace,customer_auth_service,via_CustomerIdentity,self,none_new,NEW_DOMAIN,new_domain,new_domain,W7,BLOCKED_BY_MISSING_DOMAIN,RESOLVED_DR_none;W7_build,W0_identity_map:customer_chain_MISSING,issuance_validation_revocation_fully_isolated_from_staff_AuthSession
CustomerStoreAuthorization,W1_REQUIRED_SUPPLEMENT,none,MISSING,NONE,MISSING,NONE,NEW_customer_store_authorization_table,csa_<opaque12>,customer_auth_service,binds_customer+store+visible_ServiceRecord_scope,customer_own_scope_root,none_new,NEW_DOMAIN,new_domain,new_domain,W7,BLOCKED_BY_MISSING_DOMAIN,RESOLVED_DR_none;W7_build,W0_identity_map:customer_chain_MISSING,authorization_scope_root_for_pages34_35
